EquipmentSystemCode,EquipmentName,region,GovName,CityName,HospitalName,EquipmentCondition,EquipmentStatus,DepartmentName,EquipmentOrgin,ManufacturerName,VendorName,EquipmentPurchaseCost,EquipmentPurchaseDate,EquipmentInstallDate,EquipmentExpectedLifeTime,EquipmentWarrantyExpiresDate
02313e51-d3a4-4a25-8af4-26a083ea2171,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,مبتسرين,NA,Charmcare,NA,4400,1/11/2016,1/11/2016,1/11/2021,1/11/2021
02662e7b-bbc5-44e8-97b9-c8c08409f06b,"Magnetic Units, Therapeutic",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Physical Therapy,NA,HM.25C.A,NA,24500,4/1/2016,4/1/2016,4/1/2021,4/1/2021
0383b52c-d200-4f01-893d-b18dc95f9d9b,Hemodialysis Units,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,الغسيل الكلوي,NA,Fresenius,NA,90000,6/23/2016,6/23/2016,6/23/2021,6/23/2021
03c244ee-f395-4cf0-b23b-2ce1a6bf168c,"Analyzers, Point-of-Care, WholeBlood, Coagulation",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Operation room,NA,HELENA,NA,25000,8/15/2016,8/15/2016,8/15/2021,8/15/2021
04d4c535-931d-4486-8f61-2a90decf2c8e,"Incubators, Infant, Mobile",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,CHINA,NA,10138,3/22/2016,3/22/2016,3/22/2021,3/22/2021
094e8024-e5a3-47e3-8486-1e4a15c5b9a4,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,Votem,NA,2200,3/19/2016,3/19/2016,3/19/2021,3/19/2021
119862b7-5acf-49bf-9f72-345fa4c97717,Hydrocollators,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Physical Therapy,NA,Hydrocollator,NA,9180,4/21/2016,4/21/2016,4/21/2021,4/21/2021
11fcd777-6793-4dfc-8ccf-6df75d179a08,C-Arm Radiographic/Fluoroscopic,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,عمليات,NA,GE OEC,NA,630000,6/9/2016,6/9/2016,6/9/2021,6/9/2021
1a867bbb-2af6-46c2-9a78-f808ebbb99ed,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,مبتسرين,NA,Charmcare,NA,4400,1/11/2016,1/11/2016,1/11/2021,1/11/2021
2341d0de-ffe2-437f-8a2c-72a50071739a,"Incubators, Infant, Mobile",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,CHINA,NA,10138,3/15/2016,3/15/2016,3/15/2021,3/15/2021
2f683330-6018-4b31-b0ab-9e8bfccfe68a,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,طوارئ,NA,Fukuda,NA,10500,3/17/2016,3/17/2016,3/17/2021,3/17/2021
3340bb0e-8dc8-4e35-be50-6cda7d1f7bff,Hemodialysis Units,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,الغسيل الكلوي,NA,Fresenius,NA,90000,6/23/2016,6/23/2016,6/23/2021,6/23/2021
3a486716-9a08-4835-858b-098145262e00,"Defibrillators, External,Automated",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,استقبال,NA,INSTRAMED,NA,31480,3/28/2016,3/28/2016,3/28/2021,3/28/2021
40f164a4-c495-47a1-a542-d80969707ae6,"Monitoring Systems, Physiologic",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,ER,NA,PHILIPS,NA,66999.9,4/19/2016,4/19/2016,4/19/2021,4/19/2021
427e7f8e-e275-42df-97f1-a58168385218,Bilirubinometers,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,DRAGER,NA,45000,3/14/2016,3/14/2016,3/14/2021,3/14/2021
432ff364-54b9-4958-b922-54ac48b56cb8,"Analyzers, Hematology, Cell-Counting, Automated",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Lab,NA,MEDONIC,NA,49000,3/29/2016,3/29/2016,3/29/2021,3/29/2021
53c1305c-05d0-45d8-b995-963fcdbe4b57,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,Votem,NA,2200,3/18/2016,3/18/2016,3/18/2021,3/18/2021
56034e0c-90b8-4328-a8b8-763528fb08eb,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,مبتسرين,NA,Charmcare,NA,4400,1/11/2016,1/11/2016,1/11/2021,1/11/2021
6714e734-92f0-41aa-9a0e-2cd8ad04d14a,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,Votem,NA,2200,4/17/2016,4/17/2016,4/17/2021,4/17/2021
6c2ebe2f-02c0-4ce6-a53e-fb065e4d517a,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,ER,NA,MORTARA,NA,9980,3/2/2016,3/2/2016,3/2/2021,3/2/2021
6d340fea-45ad-4a62-a760-99288ff1dc7b,Syringe Pumps,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,SK,NA,3200,3/17/2016,3/17/2016,3/17/2021,3/17/2021
712b22b5-673e-42d0-b827-4cb283717259,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,العناية العامة,NA,MORTARA,NA,9980,3/2/2016,3/2/2016,3/2/2021,3/2/2021
71d156bd-b8da-4da3-a808-65b0de11d6b4,"Monitoring Systems, Physiologic",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Catheterization,NA,Datascope,NA,52250,4/26/2016,4/26/2016,4/26/2021,4/26/2021
7629c1eb-d9d1-4c7a-aa20-fa4aebab8dcb,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,طوارئ,NA,Fukuda,NA,10500,3/17/2016,3/17/2016,3/17/2021,3/17/2021
7fc1e196-a80e-42ce-9fc2-bce3aeccb6da,"Sealers, Heat",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Blood bank,NA,Centron,NA,25000,3/26/2016,3/26/2016,3/26/2021,3/26/2021
8671f5bf-77b8-4df7-94f9-df62c4826aed,Hemodialysis Units,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,الغسيل الكلوي,NA,Fresenius,NA,81900,2/2/2016,2/2/2016,2/2/2021,2/2/2021
8abc7108-84d4-4aa1-b6ec-94d4b575c176,"Ultrasound Scanning Systems, General-Purpose",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Gynecology Unit,NA,GE,NA,235000,4/4/2016,4/4/2016,4/4/2021,4/4/2021
8feb384d-a9a9-4f31-96f8-68c516f6472e,Photometers,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Lab,NA,"""BoehringerMannheim""",NA,28000,3/27/2016,3/27/2016,3/27/2021,3/27/2021
9a852548-8aff-46f1-997f-8b50ba1b97a7,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,العناية العامة,NA,NIHON KOHDEN,NA,15000,10/26/2016,10/26/2016,10/26/2021,10/26/2021
9e19a8e7-dab5-4bd6-983c-5149153a639c,"Incubators, Infant, Mobile",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,CHINA,NA,10138,3/21/2016,3/21/2016,3/21/2021,3/21/2021
a2ee4ede-cc76-4468-9663-9771ba2a03c3,Infrared Phototherapy Units,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Physical Therapy,NA,MITIGATE,NA,7350,3/30/2016,3/30/2016,3/30/2021,3/30/2021
a81898fe-ae01-456a-ae77-dde158dc132d,Hemodialysis Units,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Working,الغسيل الكلوي,NA,Fresenius,NA,85000,4/23/2016,4/23/2016,4/23/2021,4/23/2021
a8583b4c-92eb-4ad9-975b-8b482870d8f4,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,استقبال,NA,Fukuda,NA,13000,4/16/2016,4/16/2016,4/16/2021,4/16/2021
a944dda2-7e26-4674-a520-1908c8d9b7dc,"Aspirators, Surgical",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,استقبال,NA,HOSPIVAC,NA,7650,1/29/2016,1/29/2016,1/29/2021,1/29/2021
abb933df-32b1-4632-b2ca-2d317732e98d,"""Microscopes, Light, Laboratory, Brightfield""",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Lab,NA,BOECO,NA,7700,4/23/2016,4/23/2016,4/23/2021,4/23/2021
